NCM;EX;DESCRICAO;ALIQUOTA
29302022;;Dietilditiocarbamato de zinco ;0
29302023;;Dibutilditiocarbamato de zinco ;0
29302024;;Metam sódio ;0
29302029;;Outros ;0
29303;;- Mono-, di- ou tetrassulfetos de tiourama;
2930301;;Monossulfetos;
29303011;;De tetrametiltiourama ;0
29303012;;Sulfiram ;0
29303019;;Outros ;0
2930302;;Dissulfetos;
29303021;;Thiram ;0
29303022;;Dissulfiram ;0
29303029;;Outros ;0
29303090;;Outros ;0
29304;;- Metionina;
29304010;;DL-Metionina, com um teor de cinzas sulfatadas superior a 0,1 %, em peso ;0
29304090;;Outra ;0
29306000;;- 2-(N,N-Dietilamino)etanotiol ;0
29307000;;- Sulfeto de bis(2-hidroxietila) (tiodiglicol (DCI)) ;0
29308;;- Aldicarb (ISO), captafol (ISO) e metamidofós (ISO);
29308010;;Aldicarb ;0
29308020;;Captafol ;0
29308030;;Metamidofós ;0
29309;;- Outros;
2930901;;Tióis e seus derivados, sais destes produtos;
29309011;;Ácido tioglicólico e seus sais ;0
29309012;;Cisteína ;0
29309013;;N,N-Dialquil-2-aminoetanotiol, com grupos alquila de C1 a C3, e seus sais protonados ;0
29309019;;Outros ;0
2930902;;Tioamidas e seus derivados, sais destes produtos;
29309021;;Tioureia ;0
29309022;;Tiofanato-Metila ;0
29309023;;4-Metil-3-tiosemicarbazida ;0
29309029;;Outros ;0
2930903;;Tioéteres, tioésteres e seus derivados, exceto os produtos do item 2930.90.8, sais destes produtos;
29309031;;2-(Etiltio)etanol, com uma concentração igual ou superior a 98 %, em peso ;0
29309032;;3-(Metiltio)propanal ;0
29309033;;Clorotioformiato de S-etila ;0
29309034;;Ácido 2-hidroxi-4-(metiltio)butanoico e seu sal cálcico ;0
29309035;;Metomil ;0
29309036;;Carbocisteína ;0
29309037;;"4-Sulfatoetilsulfonil-2,5-dimetoxianilina, 4-sulfatoetilsulfonil-2-metoxi-5-metilanilina, 4-
sulfatoetilsulfonil-2-metoxianilina ";0
29309039;;Outros ;0
2930904;;Fosforotioatos e seus derivados, sais destes produtos;
29309041;;Fosforotioato de O,O-dietila e de S-[2-(dietilamino)etila] e seus sais alquilados ou protonados;0
29309042;;Fosforotioato de O,O-dimetila e de S-[2-(1-metilcarbamoiletiltio)-etila)] (vamidotion) ;0
29309043;;Fosforotioato de O-(4-bromo-2-clorofenila) O-etila e de S-propila (profenofós) ;0
29309049;;Outros ;0
2930905;;Fosforoditioatos e seus derivados, sais destes produtos;
29309051;;Forato (ISO);0
29309052;;Dissulfoton ;0
29309053;;Etion ;0
29309054;;Dimetoato ;0
29309057;;Fosforoditioato de O,O-dimetila e de S-[2-(etiltio)etila] (tiometon) ;0
29309059;;Outros ;0
2930906;;Fosforoamidotioatos e seus derivados, sais destes produtos;
29309061;;Acefato ;0
29309069;;Outros ;0
2930907;;Sulfonas;
29309071;;Tiaprida ;0
29309072;;Bicalutamida ;0
29309079;;Outras ;0
2930908;;Sulfeto de 2-cloroetila e de clorometila, sulfeto de bis(2-cloroetila), bis(2-cloroetiltio)metano, 1,2- bis(2-cloroetiltio)etano, 1,3-bis(2-cloroetiltio)-n-propano, 1,4-bis(2-cloroetiltio)-n-butano, 1,5-bis(2-cloroetiltio)-n-pentano, óxido de bis(2-cloroetiltiometila), óxido de bis(2-cloroetiltioetila);
29309081;;Sulfeto de 2-cloroetila e de clorometila ;0
29309082;;Sulfeto de bis(2-cloroetila) ;0
29309083;;Bis(2-cloroetiltio)metano ;0
29309084;;1,2-Bis(2-cloroetiltio)etano ;0
29309085;;1,3-Bis(2-cloroetiltio)-n-propano ;0
29309086;;1,4-Bis(2-cloroetiltio)-n-butano ;0
29309087;;1,5-Bis(2-cloroetiltio)-n-pentano ;0
29309088;;Óxido de bis(2-cloroetiltiometila) ;0
29309089;;Óxido de bis(2-cloroetiltioetila) ;0
2930909;;Outros;
29309091;;Captan ;0
29309093;;Metileno-bis-tiocianato ;0
29309094;;Dimetiltiofosforamida ;0
29309095;;Etilditiofosfonato de O-etila e de S-fenila (fonofós) ;0
29309096;;Hidrogênio alquil(de C1 a C3)fosfonotioatos de [S-2-(dialquil(de C1 a C3)amino)etila], seus ésteres de O-alquila (de até C10, incluindo os cicloalquila), sais alquilados ou protonados destes produtos ;0
29309097;;Outros compostos que contenham um átomo de fósforo ligado a um grupo alquila (de C1 a C3) mas sem outros átomos de carbono;0
29309098;;Ditiocarbonatos (xantatos e xantogenatos) ;0
29309099;;Outros ;0
2931;;Outros compostos organo-inorgânicos.;
29311000;;- Tetrametila de chumbo e tetraetila de chumbo ;0
29312000;;- Compostos de tributilestanho ;0
29314;;- Derivados organofosforados não halogenados:;
29314100;;-- Metilfosfonato de dimetila ;0
29314200;;-- Propilfosfonato de dimetila ;0
29314300;;-- Etilfosfonato de dietila ;0
29314400;;-- Ácido metilfosfônico ;0
29314500;;-- Sal do ácido metilfosfônico e de (aminoiminometil)ureia (1:1) ;0
29314600;;-- 2,4,6-Trióxido de 2,4,6-tripropil-1,3,5,2,4,6-trioxatrifosfinano ;0
29314700;;-- Metilfosfonato de (5-etil-2-metil-2-óxido-1,3,2-dioxafosfinan-5-il)metil metila ;0
29314800;;-- 3,9-Dióxido de 3,9-dimetil-2,4,8,10-tetraoxa-3,9-difosfaspiro[5.5]undecano ;0
293149;;-- Outros;
2931491;;Ácido fosfonometiliminodiacético, ácido aminotrimetilenofosfônico, difenilfosfonato(4,4'-bis((dimetoxifosfinil)metil)difenila), etidronato dissódico, glifosato e seu sal de monoisopropilamina, glufosinato de amônio, hidrogenofosfonato de bis(2-etilexilo);
29314911;;Ácido fosfonometiliminodiacético, ácido aminotrimetilenofosfônico ;0
29314912;;Difenilfosfonato(4,4'-bis((dimetoxifosfinil)metil)difenila) ;0
29314913;;Etidronato dissódico ;0
29314914;;Glifosato e seu sal de monoisopropilamina ;0
29314915;;Glufosinato de amônio ;0
29314916;;Hidrogenofosfonato de bis(2-etilexilo) ;0
29314920;;Hidrogênio alquil(de C1 a C3)fosfonitos de [O-2-(dialquil(de C1 a C3)amino)etila], seus ésteres de O alquila (de até C10, incluindo os cicloalquila), sais alquilados ou protonados destes produtos ;0
2931493;;Outros compostos que  contenham um átomo de fósforo ligado a um grupo  alquila (de C1 a C3) mas sem outros átomos de carbono;
29314931;;Metilfosfinato de butila;0
29314932;;Metilfosfonato de bis (1-metilpentila);0
29314939;;Outros;0
29314940;;N,N-Dialquil(de C1 a C3)fosforoamidocianidatos de O-alquila (de até C10, incluindo os cicloalquila) ;0
29314990;;Outros ;0
29315;;- Derivados organofosforados halogenados:;
29315100;;-- Dicloreto metilfosfônico ;0
29315200;;-- Dicloreto propilfosfônico ;0
29315300;;-- Metilfosfonotionato de O-(3-cloropropil) O-[4-nitro-3-(trifluorometil)fenila] ;0
29315400;;-- Triclorfom (ISO) ;0
293159;;-- Outros;
2931591;;Ácido clodrônico e seu sal dissódico, etefon, fotemustina;
29315911;;Ácido clodrônico e seu sal dissódico ;0
29315912;;Etefon ;0
29315913;;Fotemustina ;0
2931599;;Outros;
29315991;;Alquil(de C1 a C3)fosfonofluoridatos de O-alquila (de até C10, incluindo os cicloalquila) ;0
29315992;;Metilfosfonocloridato de O-isopropila ;0
29315993;;Metilfosfonocloridato de O-pinacolila ;0
29315994;;Difluoreto de alquilfosfonila, com grupo alquila de C1 a C3 ;0
29315995;;Fosfonamidofluoridatos de P-alquila (de até C10, incluindo cicloalquila) N-(1-(dialquila (de até C10, incluindo cicloalquila) amino)) alquilideno (H ou de até C10, incluindo cicloalquila) e sais alquilados ou protonados destes produtos;0
29315996;;(Bis (dietilamina) metileno) fosfonamidofluoridato  de metila;0
29315998;;Outros compostos que contenham um átomo de fósforo ligado a um grupo alquila (de C1 a C3) mas sem outros átomos de carbono;0
29315999;;Outros ;0
29319;;- Outros;
2931902;;Compostos organossilícicos;
29319021;;Bis(trimetilsilil)ureia ;0
29319029;;Outros ;0
2931904;;Compostos organometálicos do estanho;
29319041;;Acetato de trifenilestanho ;0
29319042;;Tetraoctilestanho ;0
29319043;;Ciexatin ;0
29319044;;Hidróxido de trifenilestanho ;0
29319045;;Óxido de fembutatina ;0
29319046;;Sais de dimetil-estanho, de dibutil-estanho e de dioctil-estanho, dos ácidos carboxílicos ou tioglicólicos e de seus ésteres ;0
29319049;;Outros ;0
2931905;;Compostos organoarseniais;
29319051;;Ácido metilarsínico e seus sais ;0
29319052;;2-Clorovinil-dicloroarsina ;0
29319053;;Bis(2-clorovinil)cloroarsina ;0
29319054;;Tris(2-clorovinil)arsina ;0
29319059;;Outros ;0
2931906;;Compostos organoalumínicos;
29319061;;Tricloreto de etilalumínio (sesquicloreto de etilalumínio) ;0
29319062;;Cloreto de dietilalumínio ;0
29319069;;Outros ;0
29319090;;Outros ;0
2932;;Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigênio.;
29321;;- Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não) não condensado:;
29321100;;-- Tetra-hidrofurano ;0
29321200;;-- 2-Furaldeído (furfural) ;0
293213;;-- Álcool furfurílico e álcool tetra-hidrofurfurílico;
29321310;;Álcool furfurílico ;0
29321320;;Álcool tetra-hidrofurfurílico ;0
29321400;;-- Sucralose ;0
293219;;-- Outros;
29321910;;Ranitidina e seus sais ;0
29321920;;Nafronil ;0
29321930;;Nitrovin ;0
29321940;;Bioresmetrina ;0
29321950;;Diacetato de 5-nitrofurfurilideno (NFDA) ;0
29321990;;Outros ;0
29322000;;- Lactonas ;0
29329;;- Outros:;
29329100;;-- Isosafrol ;0
29329200;;-- 1-(1,3-Benzodioxol-5-il)propan-2-ona ;0
29329300;;-- Piperonal ;0
29329400;;-- Safrol ;0
29329500;;-- Tetra-hidrocanabinóis (todos os isômeros) ;0
29329600;;-- Carbofurano (ISO) ;0
293299;;-- Outros;
2932991;;Eucaliptol, quercetina, dinitrato de isossorbida;
29329911;;Eucaliptol ;0
29329912;;Quercetina ;0
29329913;;Dinitrato de isossorbida ;0
2932999;;Outros;
29329991;;Cloridrato de amiodarona ;0
29329992;;1,3,4,6,7,8-Hexaidro-4,6,6,7,8,8-hexametilciclopenta-gama-2-benzopirano ;0
29329993;;Dibenzilideno-sorbitol ;0
29329994;;Carbosulfan ((dibutilaminotio)metilcarbamato de 2,3-di-hidro-2,2-dimetilbenzofuran-7-ila) ;0
29329999;;Outros ;0
2933;;Compostos heterocíclicos exclusivamente de heteroátomo(s) de nitrogênio (azoto).;
29331;;- Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não) não condensado:;
293311;;-- Fenazona (antipirina) e seus derivados;
2933111;;Ácido 1-fenil-2,3-dimetil-5-pirazolona-4-metilaminometanossulfônico e seus sais;
29331111;;Dipirona ;0
29331112;;Magnopirol (dipirona magnésica) ;0
29331119;;Outros ;0
29331120;;Metileno-bis(4-metilamino-1-fenil-2,3-dimetil)pirazolona ;0
29331190;;Outros ;0
293319;;-- Outros;
2933191;;Fenilbutazona e seus sais;
29331911;;Fenilbutazona cálcica ;0
29331919;;Outros ;0
29331990;;Outros ;0
29332;;- Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não) não condensado:;
293321;;-- Hidantoína e seus derivados;
29332110;;Iprodiona ;0
2933212;;Fenitoína e seus sais;
29332121;;Fenitoína e seu sal sódico ;0
29332129;;Outros ;0
29332190;;Outros ;0
293329;;-- Outros;
2933291;;Cuja estrutura contém um ciclo nitroimidazol;
29332911;;2-Metil-5-nitroimidazol ;0
29332912;;Metronidazol e seus sais ;0
29332913;;Tinidazol ;0
29332919;;Outros ;0
2933292;;Cuja estrutura contém um ciclo benzeno clorado, exceto os que contenham um ciclo nitroimidazol;
29332921;;Econazol e seu nitrato ;0
29332922;;Nitrato de miconazol ;0
29332923;;Cloridrato de clonidina ;0
29332924;;Nitrato de isoconazol ;0
29332925;;Clotrimazol ;0
29332929;;Outros ;0
29332930;;Cimetidina e seus sais ;0
29332940;;4-Metil-5-hidroximetilimidazol e seus sais ;0
2933299;;Outros;
29332991;;Imidazol ;0
29332992;;Histidina e seus sais ;0
29332993;;Ondansetron e seus sais ;0
29332994;;1-Hidroxietil-2-undecanoilimidazolina ;0
29332995;;1-Hidroxietil-2-(8-heptadecenoil)imidazolina ;0
29332999;;Outros ;0
29333;;- Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não) não condensado:;
293331;;-- Piridina e seus sais;
29333110;;Piridina ;0
29333120;;Sais ;0
29333200;;-- Piperidina e seus sais ;0
293333;;-- Alfentanila (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), carfentanila (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanila (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI), remifentanila (DCI) e trimeperidina (DCI), sais destes produtos;
2933331;;Alfentanila e anileridina, sais destes produtos;
29333311;;Alfentanila ;0
29333312;;Anileridina ;0
29333319;;Outros ;0
2933332;;Bezitramida e bromazepam, sais destes produtos;
29333321;;Bezitramida ;0
29333322;;Bromazepam ;0
29333329;;Outros ;0
2933333;;Carfentanila e cetobemidona, sais destes produtos;
29333331;;Carfentanila ;0
29333332;;Cetobemidona ;0
29333339;;Outros ;0
2933334;;Difenoxilato e seus sais;
29333341;;Difenoxilato ;0
29333342;;Cloridrato de difenoxilato ;0
29333349;;Outros ;0
2933335;;Difenoxina e dipipanona, sais destes produtos;
29333351;;Difenoxina ;0
29333352;;Dipipanona ;0
29333359;;Outros ;0
2933336;;Fenciclidina, fenoperidina e fentanila, sais destes produtos;
29333361;;Fenciclidina ;0
29333362;;Fenoperidina ;0
29333363;;Fentanila ;0
29333369;;Outros ;0
2933337;;Metilfenidato e pentazocina, sais destes produtos;
29333371;;Metilfenidato ;0
29333372;;Pentazocina ;0
29333379;;Outros ;0
2933338;;Petidina, intermediário A da petidina e pipradrol, sais destes produtos;
29333381;;Petidina ;0
29333382;;Intermediário A da petidina ;0
29333383;;Pipradrol ;0
29333384;;Cloridrato de petidina ;0
29333389;;Outros ;0
2933339;;Piritramida, propiram, remifentanila e trimeperidina, sais destes produtos;
29333391;;Piritramida ;0
29333392;;Propiram ;0
29333393;;Trimeperidina ;0
29333394;;Remifentanila ;0
29333399;;Outros ;0
29333400;;-- Outras fentanilas e seus derivados ;0
29333500;;-- Quinuclidin-3-ol ;0
29333600;;-- 4-Anilino-N-fenetilpiperidina (ANPP) ;0
29333700;;-- N-Fenetil-4-piperidona (NPP) ;0
293339;;-- Outros;
2933391;;Cuja estrutura contém flúor, bromo ou ambos, em ligação covalente;
29333912;;Droperidol ;0
29333913;;Ácido niflúmico ;0
29333914;;Haloxifop (ácido (RS)-2-(4-(3-cloro-5-trifluorometil-2-piridiloxi)fenoxi)propiônico) ;0
29333915;;Haloperidol ;0
29333919;;Outros ;0
2933392;;Cuja estrutura contém cloro, mas não contém flúor nem bromo, em ligação covalente;
29333921;;Picloram ;0
29333922;;Clorpirifós ;0
29333923;;Malato ácido de cleboprida (malato de cleboprida) ;0
29333924;;Cloridrato de loperamida ;0
29333925;;Ácido 2-(2-metil-3-cloroanilino)nicotínico e seu sal de lisina ;0
29333929;;Outros ;0
2933393;;Cuja estrutura contém funções álcool, ácido carboxílico ou ambas, mas não contém halogênios em ligação covalente;
29333931;;Terfenadina ;0
29333932;;Biperideno e seus sais ;0
29333933;;Ácido isonicotínico ;0
29333934;;5-Etil-2,3-dicarboxipiridina (5-EPDC) ;0
29333935;;Imazetapir (ácido (RS)-5-etil-2-(4-isopropil-4-metil-5-oxo-2-imidazolin-2-il)nicotínico) ;0
29333936;;"Dibrometo de 1-[N,N-dialquila (de até C10) -N-(n-hidroxialquil (de até C10)) amônio]-n-[N-(3-
dimetilcarbamoxi-alfa-picolinil)-N,N-dialquil (de até C10) amônio] decano (n=1-8)";0
29333937;;Benzilato de 3-quinuclidinila ;0
29333939;;Outros ;0
2933394;;Cuja estrutura contém funções éter, éster ou ambas, mas não contém funções álcool ou ácido carboxílico nem halogênios em ligação covalente;
29333941;;Dibrometo de 1-[N,N-dialquila (de até C10) -N-(n-(ciano, acetoxi) alquil (de até C10)) amônio]-n-[N-(3-dimetilcarbamoxi-alfa-picolinil)-N,N-dialquil (de até C10) amônio] decano (n=1-8);0
29333942;;Dibrometo de 1,n-bis [N-(3-dimetilcarbamoxi-alfa-picolil)-N,N-dialquila (de até C10) amônio]-alcano-(2,(n-1)-diona) (n=2-12);0
29333943;;Nifedipina ;0
29333944;;Nitrendipina ;0
29333945;;Maleato de pirilamina ;0
29333946;;Omeprazol ;0
29333948;;Nimodipina ;0
29333949;;Outros ;0
2933398;;Outros, cuja estrutura contém um ciclo piridina (hidrogenado ou não) N-substituído com radicais alquila ou arila;
29333981;;Cloridrato de benzetimida ;0
29333982;;Cloridrato de mepivacaína ;0
29333983;;Cloridrato de bupivacaína ;0
29333984;;Dicloreto de paraquate ;0
29333989;;Outros ;0
2933399;;Outros;
29333991;;Cloridrato de fenazopiridina ;0
29333992;;Isoniazida ;0
29333993;;3-Cianopiridina ;0
29333994;;4,4'-Bipiridina ;0
29333999;;Outros ;0
29334;;- Compostos cuja estrutura contém ciclos quinoleína ou isoquinoleína (hidrogenados ou não) sem outras condensações:;
293341;;-- Levorfanol (DCI) e seus sais;
29334110;;Levorfanol ;0
29334120;;Sais ;0
293349;;-- Outros;
2933491;;Derivados do ácido quinolinocarboxílico;
29334911;;Ácido 2,3-quinolinodicarboxílico ;0
29334912;;Rosoxacina ;0
29334913;;Imazaquin ;0
29334919;;Outros ;0
29334920;;Oxaminiquina ;0
29334930;;Broxiquinolina ;0
29334940;;Ésteres do levorfanol ;0
29334990;;Outros ;0
29335;;- Compostos cuja estrutura contém um ciclo pirimidina (hidrogenado ou não) ou piperazina:;
29335200;;-- Malonilureia (ácido barbitúrico) e seus sais ;0
293353;;-- Alobarbital (DCI), amobarbital (DCI), barbital (DCI), butalbital (DCI), butobarbital, ciclobarbital (DCI), fenobarbital (DCI), metilfenobarbital (DCI), pentobarbital (DCI), secbutabarbital (DCI), secobarbital (DCI) e vinilbital (DCI), sais destes produtos;
2933531;;Alobarbital e amobarbital, sais destes produtos;
29335311;;Alobarbital e seus sais ;0
29335312;;Amobarbital e seus sais ;0
2933532;;Barbital, butalbital e butobarbital, sais destes produtos;
29335321;;Barbital e seus sais ;0
29335322;;Butalbital e seus sais ;0
29335323;;Butobarbital e seus sais ;0
29335330;;Ciclobarbital e seus sais ;0
29335340;;Fenobarbital e seus sais ;0
29335350;;Metilfenobarbital e seus sais ;0
29335360;;Pentobarbital e seus sais ;0
2933537;;Secbutabarbital e secobarbital, sais destes produtos;
29335371;;Secbutabarbital e seus sais ;0
29335372;;Secobarbital e seus sais ;0
29335380;;Venilbital e seus sais ;0
29335400;;-- Outros derivados de malonilureia (ácido barbitúrico), sais destes produtos ;0
293355;;-- Loprazolam (DCI), mecloqualona (DCI), metaqualona (DCI) e zipeprol (DCI), sais destes produtos;
29335510;;Loprazolam e seus sais ;0
29335520;;Mecloqualona e seus sais ;0
29335530;;Metaqualona e seus sais ;0
29335540;;Zipeprol e seus sais ;0
293359;;-- Outros;
2933591;;Cuja estrutura contém um ciclo piperazina;
29335911;;Oxatomida ;0
29335912;;Praziquantel ;0
29335913;;Norfloxacina e seu nicotinato ;0
29335914;;Flunarizina e seu dicloridrato ;0
29335915;;Enrofloxacina, sais de piperazina ;0
29335916;;Cloridrato de buspirona ;0
29335919;;Outros ;0
2933592;;Cuja estrutura contém um ciclo pirimidina (hidrogenado ou não) e halogênios em ligação covalente;
29335921;;Bromacil ;0
29335922;;Terbacil ;0
29335923;;Fluorouracil ;0
29335929;;Outros ;0
2933593;;"Cuja estrutura contém um ciclo pirimidina (hidrogenado ou não) e enxofre, mas não contém
halogênios em ligação covalente";
29335931;;Propiltiouracil ;0
29335932;;Diazinon ;0
29335933;;Pirazofós ;0
29335934;;Azatioprina ;0
29335935;;6-Mercaptopurina ;0
29335939;;Outros ;0
2933594;;Cuja estrutura contém um ciclo pirimidina (hidrogenado ou não) e funções álcool, éter ou ambas, mas não contém halogênios em ligação covalente nem enxofre;
29335941;;Trimetoprima ;0
29335942;;Aciclovir ;0
29335943;;Tosilatos de dipiridamol ;0
29335944;;Nicarbazina ;0
29335945;;Bissulfito de menadiona dimetilpirimidinol ;0
29335949;;Outros ;0
2933599;;Outros;
29335991;;Minoxidil ;0
29335992;;2-Aminopirimidina ;0
29335999;;Outros ;0
29336;;- Compostos cuja estrutura contém um ciclo triazina (hidrogenado ou não) não condensado:;
29336100;;-- Melamina ;0
293369;;-- Outros;
2933691;;Cuja estrutura contém cloro em ligação covalente;
29336911;;2,4,6-Triclorotriazina (cloreto cianúrico) ;0
29336912;;Mercaptodiclorotriazina ;0
29336913;;Atrazina ;0
29336914;;Simazina ;0
29336915;;Cianazina ;0
29336916;;Anilazina ;0
29336919;;Outros ;0
2933692;;Cuja estrutura contém funções oxigenadas, mas não contém cloro em ligação covalente;
29336921;;N,N,N-Triidroxietilexaidrotriazina ;0
29336922;;Hexazinona ;0
29336923;;Metribuzim ;0
29336929;;Outros ;0
2933699;;Outros;
29336991;;Ametrina ;0
29336992;;Metenamina e seus sais ;0
29336999;;Outros ;0
29337;;- Lactamas:;
29337100;;-- 6-Hexanolactama (épsilon-caprolactama) ;0
293372;;-- Clobazam (DCI) e metiprilona (DCI);
29337210;;Clobazam ;0
29337220;;Metiprilona ;0
293379;;-- Outras lactamas;
29337910;;Piracetam ;0
29337990;;Outras ;0
29339;;- Outros:;
293391;;-- Alprazolam (DCI), camazepam (DCI), clonazepam (DCI), clorazepato, clordiazepóxido (DCI), delorazepam (DCI), diazepam (DCI), estazolam (DCI), fludiazepam (DCI), flunitrazepam (DCI), flurazepam (DCI), halazepam (DCI), loflazepato de etila (DCI), lorazepam (DCI), lormetazepam (DCI), mazindol (DCI), medazepam (DCI), midazolam (DCI), nimetazepam (DCI), nitrazepam (DCI), nordazepam (DCI), oxazepam (DCI), pinazepam (DCI), pirovalerona (DCI), prazepam (DCI), temazepam (DCI), tetrazepam (DCI) e triazolam (DCI), sais destes produtos ;
2933911;;Alprazolam, camazepam, clonazepam, clorazepato e clorodiazepóxido, sais destes produtos;
29339111;;Alprazolam ;0
29339112;;Camazepam ;0
29339113;;Clonazepam ;0
29339114;;Clorazepato ;0
29339115;;Clordiazepóxido ;0
29339119;;Outros ;0
2933912;;Delorazepam, diazepam e estazolam, sais destes produtos;
29339121;;Delorazepam ;0
29339122;;Diazepam ;0
29339123;;Estazolam ;0
29339129;;Outros ;0
2933913;;Fludiazepam, flunitrazepam, flurazepam e halazepam, sais destes produtos;
29339131;;Fludiazepam ;0
29339132;;Flunitrazepam ;0
29339133;;Flurazepam ;0
29339134;;Halazepam ;0
29339139;;Outros ;0
2933914;;Loflazepato de etila, lorazepam e lormetazepam, sais destes produtos;
29339141;;Loflazepato de etila ;0
29339142;;Lorazepam ;0
29339143;;Lormetazepam ;0
29339149;;Outros ;0
2933915;;Mazindol, medazepam e midazolam, sais destes produtos;
29339151;;Mazindol ;0
29339152;;Medazepam ;0
29339153;;Midazolam e seus sais ;0
29339159;;Outros ;0
2933916;;Nimetazepam, nitrazepam, nordazepam e oxazepam, sais destes produtos;
29339161;;Nimetazepam ;0
29339162;;Nitrazepam ;0
29339163;;Nordazepam ;0
29339164;;Oxazepam ;0
29339169;;Outros ;0
2933917;;Pinazepam, pirovalerona e prazepam, sais destes produtos;
29339171;;Pinazepam ;0
29339172;;Pirovalerona ;0
29339173;;Prazepam ;0
29339179;;Outros ;0
2933918;;Temazepam, tetrazepam e triazolam, sais destes produtos;
29339181;;Temazepam ;0
29339182;;Tetrazepam ;0
29339183;;Triazolam ;0
29339189;;Outros ;0
29339200;;-- Azinfós metil (ISO) ;0
293399;;-- Outros;
2933991;;Cuja estrutura contém um ciclo pirazina não condensado ou ciclos indol (hidrogenados ou não) sem outras condensações;
29339911;;Pirazinamida ;0
29339912;;Cloridrato de amilorida ;0
29339913;;Pindolol ;0
29339919;;Outros ;0
29339920;;Cuja estrutura contém um ciclo diazepina (hidrogenado ou não) ;0
2933993;;Cuja estrutura contém um ciclo azepina (hidrogenado ou não);
29339931;;Dibenzoazepina (iminoestilbeno) ;0
29339932;;Carbamazepina ;0
29339933;;Cloridrato de clomipramina ;0
29339934;;Molinate (hexaidroazepin-1-carbotioato de S-etila) ;0
29339935;;Hexametilenoimina ;0
29339939;;Outros ;0
2933994;;Cuja estrutura contém um ciclo pirrol (hidrogenado ou não);
29339941;;Clemastina e seus derivados, sais destes produtos ;0
29339942;;Amisulprida ;0
29339943;;Sultoprida ;0
29339944;;Alizaprida ;0
29339945;;Buflomedil e seus derivados, sais destes produtos ;0
29339946;;Maleato de enalapril ;0
29339947;;Ketorolac trometamina ;0
29339949;;Outros ;0
2933995;;Cuja estrutura contém um ciclo imidazol (hidrogenados ou não);
29339951;;Benomil ;0
29339952;;Oxifendazol ;0
29339953;;Albendazol e seu sulfóxido ;0
29339954;;Mebendazol ;0
29339955;;Flubendazol ;0
29339956;;Fembendazol ;0
29339959;;Outros ;0
2933996;;Cuja estrutura contém um ciclo triazol (hidrogenado ou não), não condensado;
29339961;;Triadimenol ;0
29339962;;Triadimefon ;0
29339963;;Triazofós (fosforotioato de O,O-dietila O-(1-fenil-1H-1,2,4-triazol-3-ila)) ;0
29339969;;Outros ;0
2933999;;Outros;
29339991;;Azinfós etílico ;0
29339992;;Ácido nalidíxico ;0
29339993;;Clofazimina ;0
29339995;;Metilssulfato de amezínio ;0
29339996;;Hidrazida maleica e seus sais ;0
29339999;;Outros ;0
2934;;Ácidos nucleicos e seus sais, de constituição química definida ou não, outros compostos heterocíclicos.;
29341;;- Compostos cuja estrutura contém um ciclo tiazol (hidrogenado ou não) não condensado;
29341010;;Fentiazac ;0
29341020;;Cloridrato de tiazolidina ;0
29341030;;Tiabendazol ;0
29341090;;Outros ;0
29342;;- Compostos cuja estrutura contém ciclos benzotiazol (hidrogenados ou não) sem outras condensações;
29342010;;2-Mercaptobenzotiazol e seus sais ;0
29342020;;2,2'-Ditio-bis(benzotiazol) (dissulfeto de benzotiazila) ;0
2934203;;Benzotiazol sulfenamidas;
29342031;;2-(Terbutilaminotio)benzotiazol (N-terbutil-benzotiazol-sulfenamida) ;0
29342032;;2-(Cicloexilaminotio)benzotiazol (N-cicloexil-benzotiazol-sulfenamida) ;0
29342033;;2-(Dicicloexilaminotio)benzotiazol (N,N-dicicloexil-benzotiazol-sulfenamida) ;0
29342034;;2-(4-Morfoliniltio)benzotiazol (N-oxidietileno-benzotiazol-sulfenamida) ;0
29342039;;Outras ;0
29342040;;2-(Tiocianometiltio)benzotiazol (TCMTB) ;0
29342090;;Outros ;0
29343;;- Compostos cuja estrutura contém ciclos fenotiazina (hidrogenados ou não) sem outras condensações;
29343010;;Maleato de metotrimeprazina (maleato de levomepromazina) ;0
29343020;;Enantato de flufenazina ;0
29343030;;Prometazina ;0
29343090;;Outros ;0
29349;;- Outros:;
293491;;-- Aminorex (DCI), brotizolam (DCI), clotiazepam (DCI), cloxazolam (DCI), dextromoramida (DCI), fendimetrazina (DCI), fenmetrazina (DCI), haloxazolam (DCI), ketazolam (DCI), mesocarbo (DCI), oxazolam (DCI), pemolina (DCI) e sufentanila (DCI), sais destes produtos;
2934911;;Aminorex e brotizolan, sais destes produtos;
29349111;;Aminorex e seus sais ;0
29349112;;Brotizolam e seus sais ;0
2934912;;Clotiazepam, cloxazolam e dextromoramida, sais destes produtos;
29349121;;Clotiazepam ;0
29349122;;Cloxazolam ;0
